ID,t0,t,x,y,z,FI,TL
7777,55,86,285.05005,172.88347,15.973883,332.8,37
7777,55,87,285.4966,172.89107,16.061008,270.8,37
7777,55,88,285.66974,172.98764,16.46999,233.2,37
7777,55,89,285.42767,173.3379,16.687025,262.0,37
7777,55,90,285.53915,173.4398,16.817078,270.5,37
7777,55,91,285.5157,173.21838,16.367716,255.6,37
7777,55,92,285.55728,172.93405,16.298103,261.0,37
7777,55,93,285.19376,173.519,16.066902,255.8,37
7777,55,94,284.44992,173.24829,16.400305,266.0,37
7777,55,95,285.56134,174.18054,16.502012,232.1,37
7777,55,96,284.3278,172.94695,16.140718,283.0,37
7777,55,97,284.2343,172.94312,16.477522,231.8,37
7777,55,98,284.3563,173.22041,15.651188,254.1,37
8849,59,59,426.97983,453.93216,112.84135,346.2,37
8849,59,60,426.2455,454.5013,111.28916,333.2,37
8849,59,61,426.16638,454.9792,112.29348,312.8,37
8849,59,64,424.23068,456.95602,112.239395,325.2,37
8849,59,65,422.25604,456.18314,109.10459,375.2,37
8849,59,66,422.41586,456.605,109.65182,341.8,37
8849,59,67,422.87,456.35544,109.70843,372.5,37
8849,59,68,424.43393,458.0079,111.97636,310.0,37
8849,59,71,425.00406,457.9629,111.220924,350.8,37
8849,59,72,424.49237,458.10367,110.48486,338.5,37
8849,59,73,424.76013,457.67822,110.612274,356.5,37
8849,59,74,424.91278,457.52643,111.19989,364.0,37
8849,59,75,424.3986,457.62515,110.28544,390.2,37
8849,59,76,424.7156,457.83765,110.48222,421.0,37
8849,59,77,424.3718,457.6568,110.23671,391.8,37
8849,59,78,424.63705,457.68417,110.15472,402.5,37
8849,59,79,424.8738,458.61957,109.764946,408.2,37
8849,59,80,425.10696,458.3827,109.89825,490.0,37
8849,59,81,424.49542,457.9696,109.95302,496.2,37
8849,59,82,425.01337,457.71393,109.727196,459.2,37
8849,59,83,424.16046,456.84164,109.78962,426.8,37
8849,59,84,423.30945,455.66647,109.02416,430.8,37
8849,59,85,424.4221,457.0143,109.43975,446.0,37
8849,59,86,424.45673,456.57843,109.82299,414.8,37
8849,59,87,424.46356,456.89615,109.509926,365.5,37
8849,59,88,424.56226,456.94006,109.788895,361.2,37
8849,59,89,424.1771,456.67203,109.31676,413.0,37
8849,59,90,424.28644,456.57242,109.33454,387.5,37
8849,59,91,424.09656,456.1507,109.51505,353.8,37
8849,59,92,423.95947,455.78882,109.77728,360.8,37
8849,59,93,423.9276,456.18738,109.60644,390.8,37
8849,59,94,424.02347,455.49576,108.53158,364.0,37
8849,59,95,423.61838,457.36563,109.14154,299.2,37
8849,59,96,423.32166,456.96582,109.26988,281.0,37
8849,59,97,423.7781,456.85898,109.19729,269.0,37
8849,59,98,423.38568,455.7837,109.334,262.2,37
8849,59,99,423.64594,455.99576,108.37347,274.2,37
8988,61,61,320.4092,257.50034,38.919495,227.4,37
8988,61,62,320.01483,258.35205,37.086823,236.8,37
8988,61,63,321.52762,258.0418,39.18831,250.8,37
8988,61,64,321.0081,257.22397,38.73864,243.8,37
8988,61,65,320.86884,257.44162,38.446575,264.5,37
8988,61,66,320.87488,256.90408,38.34922,254.1,37
8988,61,67,320.5235,257.231,38.535877,268.2,37
