ID (CME),ID (Dino),Track Length (CME),Track Length (Dino),Match,Identical Match
[1173.0],[1123.0 1173.0 2817.0 7233.0],[28.0],[3.0 5.0 11.0 33.0],True,False
[1174.0],[782.0 1745.0 4256.0 4499.0 4502.0],[28.0],[4.0 5.0 10.0 17.0 22.0],False,False
[1175.0],"[771.0 1744.0 1978.0 2183.0 2348.0 2560.0 2772.0 3013.0 3266.0 3450.0
 3642.0 3843.0 4024.0 4271.0 4500.0 4820.0 5077.0 5310.0 5559.0 5815.0
 6045.0 6283.0 6521.0 6927.0]",[28.0],[2.0 3.0 17.0],False,False
[1176.0],[1106.0 2237.0 7234.0],[28.0],[9.0 22.0 41.0],False,False
[1177.0],[998.0 1067.0 8192.0],[28.0],[7.0 20.0 23.0],False,False
[1178.0],[554.0 570.0 5050.0 7902.0],[28.0],[10.0 16.0 22.0],False,False
[1179.0],[2839.0 9449.0],[28.0],[1.0 31.0],False,False
[1181.0],[2745.0 2987.0 6259.0 7102.0],[28.0],[4.0 14.0 16.0 25.0],False,False
[1182.0],[685.0 3638.0 4020.0 5303.0 5558.0],[28.0],[3.0 6.0 8.0 11.0 21.0],False,False
[1183.0],[1752.0 4036.0],[28.0],[27.0 41.0],False,False
[1184.0],[277.0 3993.0],[28.0],[18.0 27.0],False,False
[1185.0],[773.0 2544.0 4009.0 6508.0],[28.0],[2.0 10.0 22.0 44.0],True,False
[1186.0],[2513.0 3598.0 3810.0 5495.0],[28.0],[9.0 16.0 23.0 28.0],False,False
[1187.0],[1718.0 5059.0 9056.0],[28.0],[10.0 14.0 31.0],False,False
[1188.0],[2767.0],[28.0],[33.0],True,False
[1189.0],[698.0],[28.0],[56.0],True,False
[1190.0],[6046.0 8180.0 9905.0 10965.0 11289.0 11592.0 11978.0 12677.0 12693.0],[28.0],[1.0 2.0 6.0 9.0 12.0 15.0],False,False
[1191.0],[831.0 7136.0 8173.0 9871.0 11268.0],[28.0],[4.0 8.0 9.0 18.0 27.0],False,False
[1192.0],"[7395.0 7592.0 7893.0 8129.0 8430.0 8848.0 9038.0 9237.0 9605.0 9840.0
 10076.0 10361.0 10706.0]",[28.0],[2.0 3.0 5.0 16.0 64.0],True,False
[1193.0],[467.0 7611.0],[28.0],[25.0 49.0],False,False
[1194.0],[4572.0 5891.0 7234.0 13125.0 13536.0],[28.0],[6.0 12.0 16.0 22.0 23.0],True,False
[1195.0],[8218.0],[28.0],[30.0],False,False
[1196.0],[281.0 1927.0 9608.0],[28.0],[3.0 44.0 49.0],False,False
[1197.0],[9602.0 11076.0],[28.0],[12.0 29.0],False,False
[1198.0],[9854.0 11085.0 15709.0 17253.0],[28.0],[4.0 14.0 21.0],True,False
[1199.0],[352.0],[28.0],[94.0],True,False
[1200.0],[8838.0 11908.0 13253.0 14410.0 16037.0 20107.0],[28.0],[8.0 10.0 12.0 15.0 20.0],False,False
[1201.0],[9084.0 12085.0 12376.0 13058.0 13506.0 13800.0 16969.0 16998.0],[28.0],[1.0 4.0 12.0 16.0 20.0 28.0],False,False
[1202.0],[7600.0 16485.0 20986.0],[28.0],[4.0 19.0 41.0],False,False
[1203.0],[4597.0 9463.0 10995.0 12806.0 14311.0 15128.0 15129.0],[28.0],[3.0 5.0 7.0 15.0 20.0 31.0 37.0],False,False
