ID (GT),ID (Dino),Track Length (GT),Track Length (Dino),Match,Identical Match
[348],[159],[38.0],[38.0],True,True
[349],[879 893],[27.0],[9.0 32.0],True,False
[350],[48 463 548],[17.0],[7.0 26.0 33.0],True,False
[351],[17 599 605 970],[9.0],[6.0 11.0 26.0],False,False
[352],[3368],[7.0],[11.0],True,False
[353],[437 1053],[4.0],[16.0 39.0],True,False
[354],[449 450],[5.0],[6.0 15.0],True,False
[355],[565],[6.0],[10.0],True,False
[356],[447],[11.0],[27.0],True,False
[357],[164],[7.0],[8.0],True,False
[358],[671 1398 1399],[20.0],[6.0 46.0 74.0],True,False
[359],[1279 1503],[17.0],[18.0 19.0],True,False
[360],[55 510],[10.0],[5.0 27.0],False,False
[361],[98 437 1041],[10.0],[7.0 15.0 16.0],True,False
[362],[432],[13.0],[15.0],True,False
[363],[602 608],[20.0],[13.0 29.0],True,False
[364],[483 2218 2447 2952],[23.0],[13.0 14.0 27.0 37.0],False,False
[365],[444],[14.0],[57.0],True,False
[366],[272],[27.0],[28.0],True,False
[367],[194 291 1377 1599 3820 3821],[34.0],[5.0 6.0 28.0 32.0 75.0],True,False
[368],[413],[9.0],[9.0],True,True
[369],[45 546 3556],[46.0],[16.0 26.0 45.0],True,False
[370],[2502],[8.0],[17.0],True,False
[371],[285],[11.0],[22.0],True,False
[372],[691 1735 1770 2255],[29.0],[17.0 20.0 37.0],True,False
[373],[726],[4.0],[7.0],True,False
[374],[340 342 2665 3190 3364 3365],[30.0],[4.0 7.0 18.0 20.0 21.0 30.0],False,False
[375],[517],[10.0],[13.0],True,False
[376],[3828 5657],[48.0],[43.0 56.0],True,False
[377],[518],[7.0],[37.0],True,False
[378],[38 431 1297 2260],[21.0],[12.0 29.0 35.0 52.0],True,False
[379],[172 718 972 1542 3103 3765 3987 4029 4743 5142 6748],[56.0],[9.0 15.0 18.0 22.0 26.0 27.0 29.0 34.0 40.0 42.0 56.0],True,False
[380],[71],[6.0],[9.0],True,False
[381],[168],[7.0],[26.0],True,False
[382],[330 870],[7.0],[6.0 7.0],True,False
[383],[776],[10.0],[24.0],True,False
[384],[800 1142 2431],[15.0],[15.0 16.0 18.0],False,False
[385],[102],[7.0],[8.0],True,False
[386],[474],[6.0],[16.0],True,False
[387],[491 1631 2678],[16.0],[14.0 17.0 32.0],True,False
[388],[204 716],[29.0],[53.0 59.0],True,False
[389],[49],[7.0],[11.0],True,False
[390],[404],[14.0],[73.0],True,False
[391],[797],[20.0],[21.0],True,False
[392],[307 311 569 2770],[28.0],[19.0 32.0 38.0 44.0],True,False
[393],[761],[13.0],[15.0],True,False
[394],[424 1821 2419 2589 2663 2780 3274 3373 3699 3772],[29.0],[5.0 7.0 8.0 12.0 18.0 20.0 47.0],False,False
[395],[719],[19.0],[21.0],True,False
[396],[1262 1418],[10.0],[15.0 47.0],True,False
[397],[66 633 2609],[43.0],[20.0 32.0 33.0],True,False
[398],[5563 6702 7421 7925],[18.0],[10.0 13.0 20.0 31.0],False,False
[399],[765],[11.0],[17.0],True,False
[400],[439],[9.0],[14.0],True,False
[401],[84],[8.0],[8.0],True,True
[402],[255 275 842 1165 1753 1757],[31.0],[6.0 9.0 10.0 11.0 27.0 62.0],True,False
[403],[1683 2307],[9.0],[5.0 22.0],True,False
[404],[289 826 980 1698 2077 4163 4455],[45.0],[6.0 13.0 16.0 17.0 23.0 26.0 51.0],True,False
[405],[420],[18.0],[18.0],True,True
[406],[3948],[7.0],[10.0],True,False
[407],[455],[40.0],[41.0],True,False
[408],[541],[21.0],[21.0],True,True
[409],[451 1173 2371],[14.0],[12.0 13.0 34.0],True,False
[410],[916],[4.0],[13.0],True,False
[411],[312 846],[11.0],[9.0 20.0],True,False
[412],[568],[6.0],[8.0],True,False
[413],[2250 2892 3006],[16.0],[9.0 11.0 18.0],True,False
[414],[751 2834],[27.0],[37.0 66.0],True,False
[415],[419 891 980 3663],[32.0],[13.0 23.0 33.0],True,False
[416],[47],[4.0],[4.0],True,True
[417],[514 2696 2793],[39.0],[17.0 26.0 33.0],True,False
[418],[526 1393],[8.0],[4.0 11.0],True,False
[419],[780],[14.0],[14.0],True,True
[420],[3267 3477],[5.0],[10.0 36.0],True,False
[421],[181 482 731 1137],[15.0],[11.0 15.0 17.0 22.0],True,False
[422],[2550 2916],[6.0],[14.0 17.0],True,False
[423],[282],[6.0],[15.0],True,False
[424],[889 3204],[26.0],[23.0 31.0],True,False
[425],[625],[4.0],[4.0],True,True
[426],[814],[14.0],[27.0],True,False
[427],[1 2549 2685 3400 3551 4536],[7.0],[9.0 10.0 12.0 14.0 17.0 18.0],True,False
[428],[511 982],[14.0],[9.0 17.0],True,False
[429],[249 564 810],[16.0],[9.0 16.0 68.0],False,False
[430],[452 2763],[18.0],[8.0 19.0],True,False
[431],[38 3740 4073 4154 4363 4501 6449],[45.0],[8.0 11.0 13.0 20.0 23.0 29.0 52.0],False,False
[432],[300 1476 2773 2835 3198],[19.0],[4.0 5.0 6.0 16.0],False,False
[433],[497],[7.0],[8.0],True,False
[434],[295 298 1924 3442],[28.0],[9.0 14.0 15.0 40.0],True,False
[435],[783 784 1176 1430],[8.0],[6.0 8.0 22.0 28.0],True,False
[436],[524],[4.0],[35.0],True,False
[437],[580 756 2805 3185 3695],[31.0],[4.0 8.0 17.0 36.0 74.0],False,False
[438],[3602],[8.0],[25.0],True,False
[439],[247 261 808],[9.0],[7.0 8.0 11.0],True,False
[440],[2387],[4.0],[18.0],True,False
[441],[683],[5.0],[10.0],True,False
[442],[79],[14.0],[16.0],True,False
[443],[1344],[5.0],[23.0],True,False
[444],[25 32],[7.0],[14.0 17.0],True,False
[445],[551],[22.0],[32.0],True,False
[446],[559],[15.0],[16.0],True,False
