ID (GT),ID (Dino),x (GT),y (GT),z (GT),x (Dino),y (Dino),z (Dino),t,t_start (GT),t_start (Dino),FI (GT),FI (Dino),Track Length (GT),Track Length (Dino),Feature 0,Feature 1,Feature 2,Distance,Multi ID (Dino),Multi Distance (Dino)
7,4090,238.182,232.909,8.909,238.19014,233.08911,6.9074383,48.0,47.0,27.0,1.0,3.557,4.0,11.0,3.197,-2.148,-0.5874,2.0096654225534403,4090,2.01
7,4090,238.636,236.636,8.273,238.89209,236.39633,6.6248045,49.0,47.0,27.0,1.0,4.05,4.0,11.0,5.516,-3.45,-0.065,1.685103024512224,4090,1.69
7,4090,237.273,236.545,8.636,237.2676,236.63759,6.8937354,50.0,47.0,27.0,1.0,4.375,4.0,11.0,6.266,-1.898,-0.03735,1.7447314992608915,4090,1.74
8,488,265.182,341.091,5.091,265.22842,340.8944,3.9252176,0.0,0.0,0.0,1.0,2.943,4.0,22.0,6.082,0.502,0.05386,1.1831546731301692,488,1.18
8,488,264.182,340.545,5.182,264.1892,340.47546,4.1546273,1.0,0.0,0.0,1.0,2.426,4.0,22.0,5.41,-0.651,0.1844,1.0297486665712632,488,1.03
8,488,262.818,339.909,5.182,262.8992,339.97867,4.19437,2.0,0.0,0.0,1.0,3.014,4.0,22.0,3.977,-1.079,0.2683,0.9934084586915941,488,0.99
8,488,263.364,339.545,5.182,263.47638,339.32687,4.198116,3.0,0.0,0.0,1.0,2.957,4.0,22.0,5.703,-0.987,0.2668,1.014020555391271,488,1.01
9,684,374.727,165.182,9.182,374.9261,165.33849,6.8009458,0.0,0.0,0.0,1.0,3.418,5.0,6.0,4.47,-2.33,0.01402,2.394483040958458,684,2.39
9,684,374.455,165.0,8.273,374.21036,164.98903,6.6184525,1.0,0.0,0.0,1.0,3.621,5.0,6.0,3.1,-0.66,0.02882,1.6725718221518173,684,1.67
9,684,373.727,165.727,7.182,373.92255,165.7931,5.7795405,2.0,0.0,0.0,1.0,3.955,5.0,6.0,4.48,-0.6396,0.04388,1.4175689265923759,684,1.42
9,684,371.545,166.364,6.0,371.4917,166.27696,4.6416864,3.0,0.0,0.0,1.0,4.184,5.0,6.0,4.797,0.8853,-0.01945,1.362142682520801,684,1.36
9,684,370.182,165.727,4.727,370.1063,165.65181,3.4233441,4.0,0.0,0.0,1.0,3.33,5.0,6.0,6.45,0.246,0.3608,1.308014805613765,684,1.31
10,583,89.273,347.909,7.364,89.1672,347.74933,5.9785166,0.0,0.0,0.0,1.0,4.035,69.0,24.0,7.305,-1.662,-0.2273,1.3986609312394345,583,1.40
10,583,89.636,347.364,7.273,89.59399,347.4381,5.9130425,1.0,0.0,0.0,1.0,4.07,69.0,24.0,7.99,-0.7515,0.1019,1.3626224906063504,583,1.36
10,583,89.727,348.364,7.273,89.71771,348.50092,6.1666465,2.0,0.0,0.0,1.0,3.723,69.0,24.0,7.86,-0.5293,-0.4143,1.114832479551192,583,1.11
10,583,89.364,349.455,7.273,89.22986,349.55478,5.950886,3.0,0.0,0.0,1.0,3.758,69.0,24.0,7.363,-0.8115,0.258,1.3326421188736315,583,1.33
10,583,90.273,348.909,7.182,90.26494,349.1628,5.989958,4.0,0.0,0.0,1.0,3.377,69.0,24.0,10.23,-1.792,0.1219,1.2187877310524617,583,1.22
10,583,90.364,348.091,7.273,89.96352,348.22333,5.850934,5.0,0.0,0.0,1.0,3.89,69.0,24.0,8.664,-1.114,0.07697,1.4832960485540276,583,1.48
10,583,87.182,350.636,7.364,86.916985,350.95386,5.820296,6.0,0.0,0.0,1.0,3.832,69.0,24.0,5.47,-1.998,-0.0932,1.5982146193302702,583,1.60
10,583,84.273,353.455,7.182,84.32864,353.13202,5.8092494,7.0,0.0,0.0,1.0,4.58,69.0,24.0,6.88,0.0942,-0.03047,1.411331321766914,583,1.41
